Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
E41081010000000000000000000140444;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;31.07.2009;;;;SN;Leipzig;Holzhausen;04288;Parkstr.;15;;;MitNetz.pdf
E41081010000000000000000000150983;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;29.03.2010;;;;SN;Leipzig;Holzhausen;04288;Parkstr.;15;;;MitNetz.pdf
E41081010000000000000000000138008;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;03.07.2009;;;;SN;Leipzig;Lützschena-Stahmeln;04159;Freirodaer Weg;3;;;MitNetz.pdf
E41081010000000000000000000138261;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;16.06.2009;;;;SN;Leipzig;Holzhausen;04288;August-Bebel-Siedlung;57;;;MitNetz.pdf
E41081010000000000000000000138557;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;15;;SOP;;;;06.11.2009;;;;SN;Leipzig;Lützschena-Stahmeln;04159;Elsterberg;3;;;MitNetz.pdf
E41081010000000000000000000138639;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;16;;SOP;;;;21.08.2009;;;;SN;Leipzig;Lindenthal;04158;Lindenthaler Hauptstr.;26;;;MitNetz.pdf
E41081010000000000000000000142056;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;07.10.2009;;;;SN;Leipzig;Lindenthal;04158;Lindenthaler Hauptstr.;26;;;MitNetz.pdf
E41081010000000000000000000178939;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;7;;SOP;;;;19.10.2011;;;;SN;Leipzig;Lindenthal;04158;Lindenthaler Hauptstr.;26;;;MitNetz.pdf
E41081010000000000000000000138856;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;20.08.2009;;;;SN;Leipzig;Baalsdorf;04316;Gottfried-Jähnichen-Weg;51;;;MitNetz.pdf
E41081010000000000000000000139529;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;13.07.2009;;;;SN;Leipzig;Holzhausen;04288;Parkstr.;69;;;MitNetz.pdf
E41081010000000000000000000140242;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;6;;SOL;;;;05.08.2009;;;;SN;Leipzig;Lützschena-Stahmeln;04159;An der Schäferei;16;;;MitNetz.pdf
E41081010000000000000000000140388;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;07.12.2009;;;;SN;Leipzig;Mölkau;04316;Am Hasenberg;18;;;MitNetz.pdf
